id,開始,終了,CT,就業時間判定,休憩時間判定,実績数
2,2022-01-27 14:21:05.833842,2022-01-27 14:21:06.550750,0.716908,就業,休憩外,1
2,2022-01-27 14:21:06.550750,2022-01-27 14:21:07.173004,0.622254,就業,休憩外,2
2,2022-01-27 14:21:07.173004,2022-01-27 14:21:07.795073,0.622069,就業,休憩外,3
2,2022-01-27 14:21:07.795073,2022-01-27 14:21:08.417485,0.622412,就業,休憩外,4
2,2022-01-27 14:21:08.417485,2022-01-27 14:21:09.034051,0.616566,就業,休憩外,5
2,2022-01-27 14:21:09.034051,2022-01-27 14:21:16.063595,7.029544,就業,休憩外,6
2,2022-01-27 14:21:16.063595,2022-01-27 14:21:16.590355,0.52676,就業,休憩外,7
2,2022-01-27 14:21:16.590355,2022-01-27 14:21:17.315120,0.724765,就業,休憩外,8
2,2022-01-27 14:21:17.315120,2022-01-27 14:21:17.932407,0.617287,就業,休憩外,9
2,2022-01-27 14:21:17.932407,2022-01-27 14:21:18.557468,0.625061,就業,休憩外,10
